Mill_MPC,Project Number,Title,Role,Service,Description,Starttime,Endtime,Duration,Resourcename,Resourcescheduleservice ID,fd_status,referenceid,Status,details
mill,3200091,2,2D,2D-COMP,Compositor(Day)|LAProject,2022-12-13T09:00:00.000000-08:00,2022-12-13T18:00:00.000000-08:00,9,206499,67081253,Confirmed,30fc797069ce5c2a93e869b2abe964fa:34,Error,"The Schedule data transfer from CETA to Replicon with job reference 30fc797069ce5c2a93e869b2abe964fa has not been completed. Error: {""error"":{""code"":""Sender"",""correlationId"":""30fc797069ce5c2a93e869b2abe964fa:33:00"",""reason"":""URI not found : No URI Provided : "",""details"":{""displayText"":""No URI Provided"",""uri"":null},""type"":""UriError1""}}"
mill,3200091,2,2D,2D-COMP,Compositor(Day)|LAProject,2022-12-13T09:00:00.000000-08:00,2022-12-13T18:00:00.000000-08:00,9,206499,67081253,Confirmed,30fc797069ce5c2a93e869b2abe964fa:43,Success,The Schedule data transfer from CETA to Replicon with job reference 30fc797069ce5c2a93e869b2abe964fa has been completed successfully.
